প্রশ্ন ,উত্তর,,,,,
অর্ডার করবো কিভাবে ?,"অর্ডারের জন্য আপনার নাম, ঠিকানা এবং ফোন নাম্বার দিবেন ।
ডেলিভারির সময় চেক করে নিতে পারবেন।
হোম ডেলিভারি পাবেন, ঢাকা সিটির ভিতরে ফুল ক্যাশ অন ডেলিভারি এবং ঢাকার বাহিরে শুধুমাত্র ডেলিভারি চার্জটা অগ্রিম দিয়ে প্রোডাক্ট নিতে পারবেন, ধন্যবাদ।",,,,,
Bajaj BJ002B Electric kettle price please,https://www.bdstall.com/details/bajaj-bj-002b-electric-kettle-2l-117428/,,,,,
মিরপুরে ডেলিভারি চার্জ কতো,70 টাকা,,,,,
গ্যারান্টি আছে,না,,,,,
Delivery dite koto din lagbe Amr early lagto,আজকে অর্ডার করলে কালকে পাবেন।,,,,,
"ম্যাম, জমি অথবা ফ্লাট বিক্রি করতে চাইলে আপনার কন্টাক্ট নাম্বারটি দিবেন?",আমার জায়গাতো ভোলায়,,,,,
Customer Support Number ?,01612378255,,,,,
vai pa300 কয় পিস আছে,"স্যার, প্রোডাক্ট এর একটি ছবি দেয়া যাবে?",,,,,
F&d pa 300,"স্যার, এই মুহূর্তে প্রোডাক্টি স্টকে নেই।",https://www.bdstall.com/speaker/,,,লিংক থেকে অন্যগুলো দেখতে পারেন।,
আসবে কব,সিওর বলা যাচ্ছে না।,,,,,
Hi রাউটার টি এইটা কি এখন আছে নাকি,https://www.bdstall.com/details/tenda-f3-wifi-router-300-mbps-easy-setup-high-wireless-range-24629/,"হ্যাঁ, পণ্যটি স্টকে আছে।",লিংক থেকে call বাটনে ক্লিক করে সেলারের সাথে যোগাযোগ করুন।,,,
আসসালামু আলাইকুম ওয়া রাহমাতুল্লাহ এর দাম কত ভাইয়া একটু কষ্ট করে জানাবেন,"BDStall.com-এ আপনাকে স্বাগতম। পণ্যের দাম জানতে আমাদের ওয়েবসাইট দেখুন অথবা কাস্টমার সার্ভিসে যোগাযোগ করুন। (যোগাযোগের সময় সকাল ১০ টা থেকে সন্ধ্যা ৬ টা)।",,,,,
কত করে প্রাইস,,,,,,
এটা দাম কত,"স্যার, কোন প্রোডাক্ট এর দাম জানতে চাচ্ছেন?",,,,,
https://www.bdstall.com/details/self-defense-flash-light-taser-105556/,"স্যার, লিংক থেকে দেখুন।",,,,,
ভাই পুরাতন মডেলের একটা ফোন দরকার পাওয়া যাবে নাকি,"BDStall.com-এ আপনাকে স্বাগতম। আমাদের কাছে নতুন মডেলের ফোন আছে। আমাদের প্রতিনিধি আপনার সাথে যোগাযোগ করবে। (যোগাযোগের সময় সকাল ১০ টা থেকে সন্ধ্যা ৬ টা)।",,,,,
জি আচ্ছা ঠিক আছে ওকে আমার symphony একটা পুরাতন মডেলের একটা ফোন দরকার আপনাদের কাছে পাওয়া যাবে কিনা জিগাইছিলাম,পুরাতন হবে না স্যার।,,,,,
আমার লাগবে হচ্ছে symphony p6,"স্যার, এই মুহূর্তে প্রোডাক্টি স্টকে নেই।",,,,,
কবে পাওয়া যাবে ভাই,,,,,,
এখন স্টকে নেই কবে পাওয়া যাবে একটু জানান ভাই,সিওর বলা যাচ্ছে না।,,,,,
তবে একটা ধারণা তো দেন ভাই,স্টকে আসলে in stock দেখতে পাবেন ওয়েবসাইটে,,,,,
ভাই আপনাদের একটা কন্টাক্ট নাম্বার আমাকে দেন,স্টকে আসলে in stock দেখতে পাবেন ওয়েবসাইটে,,,,,
Hlw,"Najmus Sakib ,BDStall.com-এ আপনাকে স্বাগতম। আপনার মেসেজ এর জন্য ধন্যবাদ। খুব শীঘ্রই BDStall.com এর একজন প্রতিনিধি আপনার সাথে যোগাযোগ করবে। (যোগাযোগের সময় সকাল ১০ টা থেকে সন্ধ্যা ৬ টা) ।",,,,,
Ai Strikar ta ki Sell den apnra?,না স্যার।,,,,,
Customer Support Number ?,1612378255,,,,,
